id,value,remark,type
3543035,,,1
3542973,,,1
3542970,,,1
3542966,,,1
3542957,,,1
3542940,,,1
3542926,,,1
3542903,,,1
3542901,,,1
3542858,,,1
3542822,,,1
3542772,,,1
3542758,,,1
3542681,,,1
3542646,,,1
3542492,,,1
3542184,,,1
3542183,,,1
3542077,23709.6,,2
3542063,,,1
3542050,,,1
3542049,,,1
3542048,,,1
3541965,,,1
3541958,,,1
3541927,,,1
3541891,,,1
3541849,,,1
3541836,,,1
3541778,,,1
3541742,,,1
3541658,,,1
3541618,,,1
3541422,,,1
3541292,,,1
3541156,,,1
3541130,-46.1,,2
3541048,,,1
3541032,,,1
3541027,,,1
3541004,,,1
3540938,,,1
3540929,,,1
3540901,,,1
3540847,,,1
3540840,,,1
3540814,,,1
3540769,,,1
3540757,,,1
3540717,,,1
3540705,,,1
3540678,,,1
3540662,,,1
3540647,,,1
3540605,,,1
3540604,,,1
3540588,,,1
3540572,500,,2
3540414,,,1
3540413,,,1
3540404,,,1
3540403,,,1
3540385,0,,1
3540384,0,,1
3540357,,,1
3540315,,,1
3540249,,,1
3540241,,,1
3540237,,,1
3540236,,,1
3540231,,,1
3540123,,,1
3540086,,,1
3540085,,,1
3540084,,,1
3540033,,,1
3539934,,,1
3539881,,,1
3539850,,,1
3539738,,,1
3539694,,,1
3539608,,,1
3539594,,,1
3539577,,,1
3539517,,,1
3539485,,,1
3539482,0,,1
3539478,,,1
3539311,,,1
3539249,,,1
3539177,,,1
3539173,,,1
3539162,,,1
3539143,,,1
3539095,,,1
3539072,,,1
3538983,,,1
3538924,,,1
3538897,,,1
3538882,,,1
3538857,,,1
3538846,,,1
3538814,,,1
3538812,,,1
3538721,,,1
3538703,,,1
3538698,,,1
3538670,,,1
3538652,,,1
3538612,0,,1
3538607,,,1
3538500,,,1
3538453,,,1
3538429,0,,1
3538394,,,1
3538381,,,1
3538360,,,1
3538326,,,1
3538286,,,1
3538226,,,1
3538171,,,1
3538170,20888.31,,2
3538143,,,1
3538082,,,1
3538081,,,1
3538080,,,1
3538079,,,1
3538076,,,1
3538075,,,1
3538058,,,1
3537883,,,1
3537701,,,1
3537686,11664.79,,2
3537685,,,1
3537618,,,1
3537565,,,1
3537513,,,1
3537463,,,1
3537417,,,1
3537402,,,1
3537333,,,1
3537315,,,1
3537277,,,1
3537211,,,1
3537181,,,1
3537171,864357,,2
3537170,,,1
3537169,,,1
3537148,,,1
3537142,,,1
3537119,,,1
3537083,,,1
3537043,,,1
3536994,,,1
3536971,,,1
3536955,,,1
3536834,,,1
3536751,,,1
3536724,,,1
3536723,,,1
3536662,,,1
3536639,635.26,,2
3536617,,,1
3536583,,,1
3536582,,,1
3536579,,,1
3536469,,,1
3536395,,,1
3536384,,,1
3536362,,,1
3536270,,,1
3536259,,,1
3536258,,,1
3536251,,,1
3536218,,,1
3536121,,,1
3536069,,,1
3536064,,,1
3536063,,,1
3536059,,,1
3535982,,,1
3535971,,,1
3535969,,,1
3535883,,,1
3535832,,,1
3535783,,,1
3535741,,,1
3535641,,,1
3535637,,,1
3535492,,,1
3535485,1695.81,,2
3535478,,,1
3535297,,,1
3535283,,,1
3535276,,,1
3535255,,,1
3535209,,,1
3535191,,,1
3535157,,,1
3535147,,,1
3535124,,,1
3535123,,,1
3535122,,,1
3535118,,,1
3535094,,,1
3535091,,,1
3535079,,,1
3535073,,,1
3535014,,,1
3534920,,,1
3534899,,,1
3534898,,,1
3534853,,,1
3534849,,,1
3534843,,,1
3534812,,,1
3534810,,,1
3534782,,,1
3534716,,,1
3534678,,,1
3534677,,,1
3534666,,,1
3534646,,,1
3534638,,,1
3534631,,,1
3534627,132.2,,2
3534539,,,1
3534519,-21.72,,2
3534512,-43.44,,2
3534494,,,1
3534463,,,1
3534362,,,1
3534211,,,1
3534206,,,1
3534168,,,1
3534167,,,1
3534166,,,1
3534165,,,1
3534092,,,1
3534057,,,1
3534041,,,1
3533987,,,1
3533961,,,1
3533886,,,1
3533875,,,1
3533793,,,1
3533760,,,1
3533759,,,1
3533632,,,1
3533622,,,1
3533322,,,1
3533262,-30.5,,2
3533156,,,1
3533152,,,1
3533146,,,1
3533091,,,1
3533056,,,1
3533020,,,1
3532994,,,1
3532957,,,1
3532864,,,1
3532820,,,1
3532813,,,1
3532640,,,1
3532639,,,1
3532617,,,1
3532616,,,1
3532573,,,1
3532483,,,1
3532384,0,,1
3532383,0,,1
3532381,,,1
3532372,66037.74,,2
3532256,,,1
3532254,,,1
3532239,,,1
3532206,,,1
3532199,,,1
3532125,,,1
3532121,840,,2
3532104,,,1
3532087,,,1
3532085,,,1
3532084,,,1
3532017,,,1
3532002,,,1
3532001,,,1
3531989,,,1
3531918,,,1
3531837,,,1
3531817,,,1
3531784,,,1
3531684,,,1
3531594,,,1
3531498,,,1
3531487,,,1
3531323,,,1
3531318,,,1
3531282,,,1
3531214,,,1
3531210,,,1
3531161,,,1
3531124,0,,1
3531113,,,1
3531090,,,1
3531089,,,1
3531066,,,1
3531060,,,1
3531037,,,1
3531034,,,1
3531015,,,1
3530999,,,1
3530967,,,1
3530923,,,1
3530898,,,1
3530846,,,1
3530810,,,1
3530797,,,1
3530624,,,1
3530471,-369.24,,2
3530462,,,1
3530415,,,1
3530409,0,,1
3530396,,,1
3530364,,,1
3530272,,,1
3530263,,,1
3530202,,,1
3530161,,,1
3530123,,,1
3530098,,,1
3530094,,,1
3530048,,,1
3530008,,,1
3530005,0,,1
3529977,,,1
3529918,,,1
3529914,,,1
3529904,,,1
3529897,,,1
3529834,,,1
3529797,,,1
3529713,,,1
3529712,,,1
3529692,,,1
3529644,,,1
3529609,,,1
3529541,0,,1
3529502,,,1
3529347,,,1
3529277,,,1
3529252,,,1
3529242,,,1
3529214,,,1
3529190,,,1
3529066,,,1
3529061,,,1
3529037,,,1
3528969,,,1
3528898,,,1
3528870,,,1
3528790,,,1
3528673,,,1
3528662,,,1
3528632,,,1
3528618,,,1
3528611,,,1
3528446,,,1
3528403,,,1
3528394,0,,1
3528387,,,1
3528347,,,1
3528304,,,1
3528240,,,1
3528237,,,1
3528234,0,,1
3528186,,,1
3528124,0,,1
3528121,164901.76,,2
3528089,,,1
3527998,,,1
3527995,,,1
3527887,,,1
3527854,,,1
3527839,,,1
3527799,,,1
3527739,,,1
3527738,,,1
3527729,,,1
3527665,,,1
3527611,,,1
3527598,,,1
3527565,,,1
3527538,,,1
3527461,,,1
3527339,,,1
3527246,,,1
3527221,,,1
